name;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;type;price
Pizza au thon, préemballée;;220;10,8;23,3;8,78;3,47;2,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,97;-;0,99;-;397;-;;;;;
Pizza kebab, préemballée;;211;9,4;26,6;7,01;3,04;1,85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3,5;-;1,4;-;549;-;;;;;
Pizza au poulet, préemballée;;215;9,95;27,5;6,68;2,96;2,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3,23;2,3;1,16;-;462;-;;;;;
Pizza type raclette ou tartiflette, préemballée;;276;11,8;27,5;12,7;2,77;2,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5,93;-;1,55;-;603;-;;;;;
Pizza au speck ou jambon cru, préemballée;;240;12,2;25,7;9,43;3,47;1,6;163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,67;3,35;1,74;-;767;-;;;;;
Focaccia, garnie;;233;8;29,5;8,75;4,25;2,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,75;-;1,45;-;585;-;;;;;
Fougasse, garnie;;306;9,53;38,8;11,8;1,47;3,2;76,6;1,24;23,7;0,95;0;1,22;-;-;0,1;0,12;0,061;1,38;0,31;0,1;16,8;0,074;37,3;2,74;7,23;1,78;177;711;4,51;;;;;
Croque-monsieur, fait maison;;-;14,3;-;18,4;-;-;249;1,32;21,9;1,34;0,15;0,55;-;-;0,02;0,2;0,16;1,55;-;0;-;-;-;-;-;1,71;189;686;-;;;;;
Hot-dog, préemballé;;278;10,9;26,3;13,8;5,2;1,6;56;0,85;17;1,1;0,25;1;3,7;-;0,5;0,11;0,051;1,37;0,4;0,068;31,2;0,5;19,1;5,18;6,19;1,69;210;676;020;;;;;
Hamburger, provenant de fast food;;246;13,3;28,3;8,44;5,95;1,8;64;1,23;29,7;2,26;0,1;0,07;4,9;-;0,3;0,35;0,19;4,06;0,37;0,11;17;1,2;20,7;2,82;3,64;1,23;251;492;010;;;;;
Cheeseburger, provenant de fast food;;268;13,7;23,1;12,9;5,47;1,8;91,3;1,2;21,3;2,1;0,1;0,09;5,5;-;0,4;0,32;0,19;3,51;0,42;0,37;7;1,31;17,7;5,07;5,37;1,33;198;528;-;;;;;
Double cheeseburger, provenant de fast food;;299;15,5;21,5;16,7;-;01;104;1,4;20,2;2,9;0,5;1,35;-;-;0,9;0,089;0,15;2,99;0,35;0,2;28,9;0,99;19,8;6,32;6,51;1,15;184;461;6,6;;;;;
