name;description;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;price;
Jus multifruit, à base de concentré, standard;;;-;0,52;11,2;0,15;10,8;0,62;11,1;0,1;8,2;0,05;0;0,53;-;-;17,8;0,11;0,08;0,93;0,31;0,17;18,8;0;0;0,021;traces;0,02;148;8,57;0,5;;;;;
Jus d'orange, pur jus;;;45,4;0,61;9,61;0,11;9,61;0,28;0,41;0,068;10;0,045;0;0,2;0,1;-;37;0,08;0,021;0,3;0,24;0,1;30;0;0;0,053;0,014;0,012;165;4,81;-;;;;;
Jus multifruit, à base de concentré, multivitaminé;;;-;0,29;10,8;0,091;10,3;0,27;-;-;-;-;-;2,15;-;-;16,2;0,3;0,36;3,84;1,28;0,42;45,6;-;-;0,051;-;0,019;-;7,5;-;;;;;
Jus de fruits, pur jus (aliment moyen);;;46,9;0,51;9,32;0,14;8,94;0,27;3,93;0,12;9,05;0,044;0,00013;0,16;0,16;;32,7;0,059;0,018;0,25;0,18;0,08;22,4;0;0,015;0,044;0,013;0,012;154;5,26;;;;;;
Jus d'ananas, pur jus;;;52,9;0,41;12,1;0,074;12,1;0,22;8,08;0,18;13,6;0,073;0;0,02;-;-;14;0,055;0,02;0,3;0,15;0,1;23;0;0;0,031;0,01;0,013;134;5,2;1,1;;;;;
Jus de pomme, pur jus;;;48,9;0,17;11,4;0,14;10,9;0,23;4,32;0,3;4,56;0,1;0;0,01;0;-;14,5;0,013;0,01;0,043;0,045;0,042;6,75;0;0;0,046;0,006;0,022;113;13,3;0,1;;;;;
Jus de légumes, pur jus (aliment moyen);;;21,7;0,72;4,66;0,13;4,46;0,37;8,89;0,45;11,7;0,16;0;0,85;10,3;;24,3;0,07;0,043;0,53;0,24;0,16;8,5;0;0;0,036;0,005;0,33;258;131;0,7;;;;;
Jus de fruits, à base de concentré (aliment moyen);;;47,1;0,54;10,5;0,13;10,3;0,35;8,62;0,097;9,82;0,03;0;0,24;0,027;;31,6;0,079;0,043;0,44;0,23;0,11;23,9;0;0;0,031;0,018;0,012;147;4,88;3,93;;;;;
Jus d'orange sanguine, pur jus;;;-;0,63;10,2;0,1;9,75;0,68;-;-;-;-;0;-;-;-;39,8;-;-;-;-;-;-;0;-;0,043;traces;0,01;-;4;-;;;;;
Smoothie;;;-;0,62;12,4;0,26;11,7;1,08;9,65;0,24;11,5;0,07;-;-;0,88;-;20,2;0,059;0,012;0,2;0,079;0,064;28,6;-;0,35;0,17;-;0,01;165;3,84;0 20;;;;;
